ID_epi,tiempo_entrada,tiempo_salida,texto,episodio,temporada
1,00:00:06.520,00:00:07.760,(HOMBRE) ¡Quieto o disparo!,1,1
2,00:00:07.840,00:00:08.840,(Disparo),1,1
3,00:00:08.920,00:00:09.760,(MUJER) ¡No!,1,1
4,00:00:25.160,00:00:26.360,"""Me llamo Tokio.",1,1
5,00:00:28.520,00:00:31.800,"Pero cuando comenzó esta historia, no me llamaba así.",1,1
6,00:00:33.680,00:00:34.720,Esta era yo.,1,1
7,00:00:38.040,00:00:39.960,"Y este, el amor de mi vida.",1,1
8,00:00:40.040,00:00:42.400,La última vez que lo vi lo dejé en un charco de sangre,1,1
9,00:00:42.480,00:00:44.240,con los ojos abiertos.,1,1
10,00:00:45.640,00:00:47.680,"Hicimos 15 atracos limpios,",1,1
11,00:00:48.160,00:00:50.560,pero mezclar amor y trabajo nunca funciona.,1,1
12,00:00:50.640,00:00:54.400,"Así que, cuando el segurata disparó, tuve que cambiar de profesión.",1,1
13,00:00:56.000,00:00:57.960,De ladrona a asesina.,1,1
14,00:00:59.000,00:01:00.440,Y así fue como empecé a huir.,1,1
15,00:01:01.840,00:01:04.120,"De alguna manera, yo también estaba muerta.",1,1
16,00:01:06.240,00:01:07.840,O casi muerta.,1,1
17,00:01:26.800,00:01:28.560,Llevaba 11 días escondida,1,1
18,00:01:28.840,00:01:32.040,y mi foto empapelaba las comisarías de toda España.,1,1
19,00:01:32.120,00:01:33.600,Me caerían 30 años.,1,1
20,00:01:33.680,00:01:36.120,"Y, la verdad, no soy de llegar a viejecita",1,1
21,00:01:36.200,00:01:37.360,en la celda de un penal.,1,1
22,00:01:39.120,00:01:40.400,Soy más bien de huir.,1,1
23,00:01:41.120,00:01:42.440,En cuerpo y alma.,1,1
24,00:01:43.320,00:01:45.040,"Y si no puedo llevar mi cuerpo,",1,1
25,00:01:46.560,00:01:48.080,"al menos que escape mi alma"".",1,1
26,00:01:48.440,00:01:50.800,(Tono de llamada),1,1
27,00:01:50.880,00:01:53.760,"""No me quedaba tiempo y había cosas importantes que debía hacer.",1,1
28,00:01:55.080,00:01:56.280,"En realidad, solo una"".",1,1
29,00:01:57.240,00:01:58.640,(Teléfono),1,1
30,00:02:05.000,00:02:06.120,Sí.,1,1
31,00:02:08.160,00:02:09.200,"""¿Mamá?"".",1,1
32,00:02:09.720,00:02:10.720,"Ay, mi niña.",1,1
33,00:02:12.000,00:02:13.680,"""¿Cómo estás, cariño?"".",1,1
34,00:02:15.160,00:02:16.440,¿Qué está pasando?,1,1
35,00:02:16.920,00:02:18.560,"""¿No viste las noticias?"".",1,1
36,00:02:19.080,00:02:20.800,Todas esas cosas que dicen de mí.,1,1
37,00:02:21.440,00:02:23.400,"Sí, claro que las he visto.",1,1
38,00:02:25.800,00:02:27.080,¿Sabes qué?,1,1
39,00:02:28.800,00:02:30.440,Estoy pensando en irme de viaje.,1,1
40,00:02:30.520,00:02:32.720,"""A lo mejor me enrolo en un barco chino.",1,1
41,00:02:32.800,00:02:33.960,De cocinera.,1,1
42,00:02:34.040,00:02:36.080,¿No decías que no sabía hacer una tortilla?,1,1
43,00:02:36.160,00:02:37.800,"Así aprendo. ¿Qué te parece?"".",1,1
44,00:02:38.440,00:02:40.040,"No sé, cariño.",1,1
45,00:02:40.320,00:02:42.080,"¿Y si comen todo chino, qué?",1,1
46,00:02:44.880,00:02:48.120,"¿Ese viaje qué significa,",1,1
47,00:02:48.200,00:02:50.040,"""que no voy a volver a verte más?"".",1,1
48,00:02:51.360,00:02:52.920,Qué tonterías dices.,1,1
49,00:02:53.520,00:02:54.800,Pues claro que me verás.,1,1
50,00:02:54.880,00:02:57.240,"""Te compraré un billete para que vengas a visitarme"".",1,1
51,00:02:59.080,00:03:00.400,¿Visitarte dónde?,1,1
52,00:03:01.840,00:03:02.880,¿Al cementerio?,1,1
53,00:03:07.240,00:03:08.320,¿Estás sola?,1,1
54,00:03:10.880,00:03:12.000,"""Mamá, ¿estás sola?"".",1,1
55,00:03:12.360,00:03:13.400,Sí.,1,1
56,00:03:13.480,00:03:16.440,"""Pues baja a la calle, como si fueses al mercado.",1,1
57,00:03:17.680,00:03:18.920,"Yo te encontraré"".",1,1
58,00:03:22.240,00:03:24.880,"""Y ese día, el día que iba al matadero,",1,1
59,00:03:24.960,00:03:27.200,apareció mi ángel de la guarda.,1,1
60,00:03:28.160,00:03:31.240,Pero una nunca sabe a ciencia cierta cómo es un ángel de la guarda,1,1
61,00:03:31.320,00:03:34.640,y lo que menos te puedes imaginar es que aparezca en un Seat Ibiza,1,1
62,00:03:34.720,00:03:35.920,"del 92"".",1,1
63,00:03:36.000,00:03:37.760,"Perdona, ¿tienes un minuto?",1,1
64,00:03:39.840,00:03:40.840,No.,1,1
65,00:03:44.720,00:03:47.200,"Lo de cocinar en un barco chino solo tiene una ventaja,",1,1
66,00:03:51.160,00:03:53.000,que no tienes que fregar los platos.,1,1
67,00:03:53.920,00:03:56.080,"""Por un momento pensé en los chinos",1,1
68,00:03:56.560,00:03:58.680,"y en que odio a la gente que escupe"".",1,1
69,00:04:05.960,00:04:07.960,"¿Quién eres, policía? Espera, espera.",1,1
70,00:04:08.040,00:04:10.640,"Vas de camino al matadero, tienes a un equipo esperándote",1,1
71,00:04:10.720,00:04:12.640,y tienen un coche desde hace seis días...,1,1
72,00:04:12.720,00:04:13.840,¿Por qué te voy a creer?,1,1
73,00:04:14.920,00:04:16.760,"""Y así conocí al Profesor,",1,1
74,00:04:16.840,00:04:19.200,"apuntándole con una pistola en las pelotas"".",1,1
75,00:04:19.280,00:04:20.160,¿Puedo?,1,1
76,00:04:20.240,00:04:21.720,"""Lo bueno de las relaciones",1,1
77,00:04:21.800,00:04:24.280,"es que uno termina olvidándose de cómo empezaron"".",1,1
78,00:04:24.440,00:04:25.560,¿Puedo?,1,1
79,00:04:40.360,00:04:42.120,Están ya en casa de tu madre.,1,1
80,00:04:48.480,00:04:50.240,Por eso he venido a ayudarte.,1,1
81,00:04:52.360,00:04:54.800,"Quiero proponerte un negocio,",1,1
82,00:04:56.280,00:04:58.200,"un atraco, un atraco...",1,1
83,00:05:01.080,00:05:02.560,singular.,1,1
84,00:05:03.840,00:05:05.320,Estoy buscando a gente que...,1,1
85,00:05:06.080,00:05:08.200,"Bueno, que no tenga mucho que perder.",1,1
86,00:05:11.080,00:05:16.240,¿Cómo te suenan... 2400 millones de euros?,1,1
87,00:05:19.800,00:05:22.040,"""Nadie había dado un palo así,",1,1
88,00:05:22.120,00:05:25.160,"ni en Nueva York, ni en Londres, ni en Montecarlo;",1,1
89,00:05:25.240,00:05:27.400,"así que si mi foto volvía a los periódicos,",1,1
90,00:05:27.480,00:05:30.440,"al menos que fuera por el atraco más grande de la historia"".",1,1
91,00:06:12.880,00:06:14.120,Os doy la bienvenida...,1,1
92,00:06:15.960,00:06:20.120,y... las gracias por haber aceptado esta...,1,1
93,00:06:22.080,00:06:23.400,Esta oferta de trabajo.,1,1
94,00:06:23.480,00:06:24.480,(Risas),1,1
95,00:06:27.440,00:06:31.000,"Viviremos aquí, alejados del mundanal ruido.",1,1
96,00:06:31.200,00:06:33.960,"Cinco meses, los cinco meses que pasaremos estudiando",1,1
97,00:06:34.040,00:06:36.640,cómo dar el golpe. ¿Cómo que cinco meses?,1,1
98,00:06:36.840,00:06:38.480,¿Estamos locos o qué?,1,1
99,00:06:41.000,00:06:44.880,"Mira, la gente pasa años estudiando",1,1
100,00:06:46.200,00:06:49.120,"para tener un sueldo, un sueldo que, en el mejor de los casos,",1,1
101,00:06:49.200,00:06:52.080,"no deja de ser un sueldo, un sueldo de mierda.",1,1
102,00:06:53.680,00:06:55.280,¿Qué son cinco meses?,1,1
103,00:06:57.320,00:07:03.040,Yo llevo pensando en esto... mucho más tiempo.,1,1
104,00:07:07.320,00:07:09.040,Para no volver a trabajar en mi vida.,1,1
105,00:07:10.000,00:07:11.560,Ni vosotros...,1,1
106,00:07:13.280,00:07:14.880,ni vuestros hijos.,1,1
107,00:07:22.920,00:07:23.920,Bien.,1,1
108,00:07:24.000,00:07:26.680,De momento no os conocéis y quiero que siga siendo así.,1,1
109,00:07:26.760,00:07:31.000,"No quiero nada de nombres, ni preguntas personales,",1,1
110,00:07:32.560,00:07:35.160,"ni, por supuesto, relaciones personales.",1,1
111,00:07:36.880,00:07:39.640,"Quiero que cada uno elija un nombre, algo sencillo.",1,1
112,00:07:39.720,00:07:41.760,"Puede ser números, planetas, ciudades...",1,1
113,00:07:41.840,00:07:46.240,"-Rollo ""Señor 17, la señorita 23"". -Ya empezamos mal. Yo no sé",1,1
114,00:07:46.320,00:07:49.320,recordar mi número de teléfono. -Por eso te lo digo.,1,1
